Intel Pentium Gold G5420
Intel Pentium Gold G5420T
Intel Pentium Gold G5500
Intel Pentium Gold G5500T
Intel Pentium Gold G5600
Intel Pentium Gold G5600T
Intel Pentium Gold G5620
Intel Pentium Gold G7400
Intel Pentium Gold G7400E
Intel Pentium Gold G7400T
Intel Pentium Gold G7400TE
Intel Pentium J5040
Intel Pentium N5030
Intel Pentium Silver N6000
Intel Pentium Silver N6005
Intel 300
Intel 310
Intel 310T
Intel U300
Intel U300E
Intel U300RE
Intel 300T
Intel N100
Intel N200
Intel N50
Intel N97
Intel U301L
Intel U302L
Intel U303L
Intel Xeon D 1702
Intel Xeon D 1712TR
Intel Xeon D 1713NT
Intel Xeon D 1713NTE
Intel Xeon D 1714
Intel Xeon D 1715TER
Intel Xeon D 1718T
Intel Xeon D 1722NE
Intel Xeon D 1726
Intel Xeon D 1731NTE
Intel Xeon D 1732TE
Intel Xeon D 1733NT
Intel Xeon D 1734NT
Intel Xeon D 1735TR
Intel Xeon D 1736
Intel Xeon D 1736NT
Intel Xeon D 1739
Intel Xeon D 1746TER
Intel Xeon D 1747NTE
Intel Xeon D 1748TE
Intel Xeon D 1749NT
Intel Xeon D 1813NT
Intel Xeon D 1823NT
Intel Xeon D 1834
Intel Xeon D 1844NT
Intel Xeon D 1846
Intel Xeon D 1848TER
Intel Xeon D 2712T
Intel Xeon D 2733NT
Intel Xeon D 2738
Intel Xeon D 2739NT
Intel Xeon D 2745NX
Intel Xeon D 2752NTE
Intel Xeon D 2752TER
Intel Xeon D 2753NT
Intel Xeon D 2757NX
Intel Xeon D 2766NT
Intel Xeon D 2775TE
Intel Xeon D 2776NT
Intel Xeon D 2777NX
Intel Xeon D 2779
Intel Xeon D 2786NTE
Intel Xeon D 2795NT
Intel Xeon D 2796NT
Intel Xeon D 2796TE
Intel Xeon D 2798NT
Intel Xeon D 2798NX
Intel Xeon D 2799
Intel Xeon D 2832NT
Intel Xeon D 2843NT
Intel Xeon D 2876NT
Intel Xeon D 2896NT
Intel Xeon D 2896TER
Intel Xeon D 2899NT
Intel Xeon Gold 5315Y
Intel Xeon Gold 5317
Intel Xeon Gold 5318N
Intel Xeon Gold 5318S
Intel Xeon Gold 5318Y
Intel Xeon Gold 5320
Intel Xeon Gold 5320T
Intel Xeon Gold 6312U
Intel Xeon Gold 6314U
Intel Xeon Gold 6326
Intel Xeon Gold 6330
Intel Xeon Gold 6330N
Intel Xeon Gold 6334
Intel Xeon Gold 6336Y
Intel Xeon Gold 6338
Intel Xeon Gold 6338N
Intel Xeon Gold 6338T
Intel Xeon Gold 6342
Intel Xeon Gold 6346
Intel Xeon Gold 6348
Intel Xeon Gold 6354
Intel Xeon Platinum 8351N
Intel Xeon Platinum 8352M
Intel Xeon Platinum 8352S
Intel Xeon Platinum 8352V
Intel Xeon Platinum 8352Y
Intel Xeon Platinum 8358
Intel Xeon Platinum 8358P
Intel Xeon Platinum 8360Y
Intel Xeon Platinum 8362
Intel Xeon Platinum 8368
Intel Xeon Platinum 8368Q
Intel Xeon Platinum 8380
Intel Xeon Silver 4309Y
Intel Xeon Silver 4310
Intel Xeon Silver 4310T
Intel Xeon Silver 4314
Intel Xeon Silver 4316
Intel Xeon W 3323
Intel Xeon W 3335
Intel Xeon W 3345
Intel Xeon W 3365
Intel Xeon W 3375
Intel Xeon E 2124
Intel Xeon E 2124G
Intel Xeon E 2126G
Intel Xeon E 2134
Intel Xeon E 2136
Intel Xeon E 2144G
Intel Xeon E 2146G
Intel Xeon E 2174G
Intel Xeon E 2176G
Intel Xeon E 2176M
Intel Xeon E 2186G
Intel Xeon E 2186M
Intel Xeon E 2224
Intel Xeon E 2224G
Intel Xeon E 2226G
Intel Xeon E 2226GE
Intel Xeon E 2234
Intel Xeon E 2236
Intel Xeon E 2244G
Intel Xeon E 2246G
Intel Xeon E 2254ME
Intel Xeon E 2254ML
Intel Xeon E 2274G
Intel Xeon E 2276G
Intel Xeon E 2276M
Intel Xeon E 2276ME
Intel Xeon E 2276ML
Intel Xeon E 2278G
Intel Xeon E 2278GE
Intel Xeon E 2278GEL
Intel Xeon E 2286G
Intel Xeon E 2286M
Intel Xeon E 2288G
Intel Xeon E 2314
Intel Xeon E 2324G
Intel Xeon E 2334
Intel Xeon E 2336
Intel Xeon E 2356G
Intel Xeon E 2374G
Intel Xeon E 2378
Intel Xeon E 2378G
Intel Xeon E 2386G
Intel Xeon E 2388G
Intel Xeon E 2414
Intel Xeon E 2434
Intel Xeon E 2436
Intel Xeon E 2456
Intel Xeon E 2468
Intel Xeon E 2478
Intel Xeon E 2486
Intel Xeon E 2488
Intel Xeon Gold 6405U
Intel Xeon Gold G6400
Intel Xeon Gold G6400E
Intel Xeon Gold G6400T
Intel Xeon Gold G6400TE
